original_name,label
n01440764,animal or human
n01443537,animal or human
n01484850,animal or human
n01491361,animal or human
n01494475,animal or human
n01496331,animal or human
n01498041,animal or human
n01514668,animal or human
n01514859,animal or human
n01518878,animal or human
n01530575,animal or human
n01531178,animal or human
n01532829,animal or human
n01534433,animal or human
n01537544,animal or human
n01558993,animal or human
n01560419,animal or human
n01580077,animal or human
n01582220,animal or human
n01592084,animal or human
n01601694,animal or human
n01608432,animal or human
n01614925,animal or human
n01616318,animal or human
n01622779,animal or human
n01629819,animal or human
n01630670,animal or human
n01631663,animal or human
n01632458,animal or human
n01632777,animal or human
n01641577,animal or human
n01644373,animal or human
n01644900,animal or human
n01664065,animal or human
n01665541,animal or human
n01667114,animal or human
n01667778,animal or human
n01669191,animal or human
n01675722,animal or human
n01677366,animal or human
n01682714,animal or human
n01685808,animal or human
n01687978,animal or human
n01688243,animal or human
n01689811,animal or human
n01692333,animal or human
n01693334,animal or human
n01694178,animal or human
n01695060,animal or human
n01697457,animal or human
n01698640,animal or human
n01704323,animal or human
n01768244,animal or human
n01795545,animal or human
n01796340,animal or human
n01797886,animal or human
n01798484,animal or human
n01806143,animal or human
n01806567,animal or human
n01807496,animal or human
n01817953,animal or human
n01818515,animal or human
n01819313,animal or human
n01820546,animal or human
n01824575,animal or human
n01828970,animal or human
n01829413,animal or human
n01833805,animal or human
n01843065,animal or human
n01843383,animal or human
n01847000,animal or human
n01855032,animal or human
n01855672,animal or human
n01860187,animal or human
n01871265,animal or human
n01872401,animal or human
n01873310,animal or human
n01877812,animal or human
n01882714,animal or human
n01883070,animal or human
n01910747,animal or human
n01914609,animal or human
n01917289,animal or human
n01924916,animal or human
n01930112,animal or human
n01943899,animal or human
n01944390,animal or human
n01945685,animal or human
n01950731,animal or human
n01968897,animal or human
n01978287,animal or human
n01978455,animal or human
n01980166,animal or human
n01981276,animal or human
n01983481,animal or human
n01984695,animal or human
n01985128,animal or human
n01986214,animal or human
n01990800,animal or human
n02002556,animal or human
n02002724,animal or human
n02006656,animal or human
n02007558,animal or human
n02009229,animal or human
n02009912,animal or human
n02011460,animal or human
n02012849,animal or human
n02013706,animal or human
n02017213,animal or human
n02018207,animal or human
n02018795,animal or human
n02025239,animal or human
n02027492,animal or human
n02028035,animal or human
n02033041,animal or human
n02037110,animal or human
n02051845,animal or human
n02056570,animal or human
n02058221,animal or human
n02066245,animal or human
n02071294,animal or human
n02074367,animal or human
n02077923,animal or human
n02085620,animal or human
n02085782,animal or human
n02085936,animal or human
n02086079,animal or human
n02086240,animal or human
n02086646,animal or human
n02086910,animal or human
n02087046,animal or human
n02087394,animal or human
n02088094,animal or human
n02088238,animal or human
n02088364,animal or human
n02088466,animal or human
n02088632,animal or human
n02089078,animal or human
n02089867,animal or human
n02089973,animal or human
n02090379,animal or human
n02090622,animal or human
n02090721,animal or human
n02091032,animal or human
n02091134,animal or human
n02091244,animal or human
n02091467,animal or human
n02091635,animal or human
n02091831,animal or human
n02092002,animal or human
n02092339,animal or human
n02093256,animal or human
n02093428,animal or human
n02093647,animal or human
n02093754,animal or human
n02093859,animal or human
n02093991,animal or human
n02094114,animal or human
n02094258,animal or human
n02094433,animal or human
n02095314,animal or human
n02095570,animal or human
n02095889,animal or human
n02096051,animal or human
n02096177,animal or human
n02096294,animal or human
n02096437,animal or human
n02096585,animal or human
n02097047,animal or human
n02097130,animal or human
n02097209,animal or human
n02097298,animal or human
n02097474,animal or human
n02097658,animal or human
n02098105,animal or human
n02098286,animal or human
n02098413,animal or human
n02099267,animal or human
n02099429,animal or human
n02099601,animal or human
n02099712,animal or human
n02099849,animal or human
n02100236,animal or human
n02100583,animal or human
n02100735,animal or human
n02100877,animal or human
n02101006,animal or human
n02101388,animal or human
n02101556,animal or human
n02102040,animal or human
n02102177,animal or human
n02102318,animal or human
n02102480,animal or human
n02102973,animal or human
n02104029,animal or human
n02104365,animal or human
n02105056,animal or human
n02105162,animal or human
n02105251,animal or human
n02105412,animal or human
n02105505,animal or human
n02105641,animal or human
n02105855,animal or human
n02106030,animal or human
n02106166,animal or human
n02106382,animal or human
n02106550,animal or human
n02106662,animal or human
n02107142,animal or human
n02107312,animal or human
n02107574,animal or human
n02107683,animal or human
n02107908,animal or human
n02108000,animal or human
n02108089,animal or human
n02108422,animal or human
n02108551,animal or human
n02108915,animal or human
n02109047,animal or human
n02109525,animal or human
n02109961,animal or human
n02110063,animal or human
n02110185,animal or human
n02110341,animal or human
n02110627,animal or human
n02110806,animal or human
n02110958,animal or human
n02111129,animal or human
n02111277,animal or human
n02111500,animal or human
n02111889,animal or human
n02112018,animal or human
n02112137,animal or human
n02112350,animal or human
n02112706,animal or human
n02113023,animal or human
n02113186,animal or human
n02113624,animal or human
n02113712,animal or human
n02113799,animal or human
n02113978,animal or human
n02114367,animal or human
n02114548,animal or human
n02114712,animal or human
n02114855,animal or human
n02115641,animal or human
n02115913,animal or human
n02116738,animal or human
n02117135,animal or human
n02119022,animal or human
n02119789,animal or human
n02120079,animal or human
n02120505,animal or human
n02123045,animal or human
n02123159,animal or human
n02123394,animal or human
n02123597,animal or human
n02124075,animal or human
n02125311,animal or human
n02127052,animal or human
n02128385,animal or human
n02128757,animal or human
n02128925,animal or human
n02129165,animal or human
n02129604,animal or human
n02130308,animal or human
n02132136,animal or human
n02133161,animal or human
n02134084,animal or human
n02134418,animal or human
n02137549,animal or human
n02138441,animal or human
n02165105,animal or human
n02165456,animal or human
n02167151,animal or human
n02168699,animal or human
n02169497,animal or human
n02172182,animal or human
n02174001,animal or human
n02190166,animal or human
n02206856,animal or human
n02219486,animal or human
n02226429,animal or human
n02229544,animal or human
n02231487,animal or human
n02236044,animal or human
n02256656,animal or human
n02259212,animal or human
n02264363,animal or human
n02268443,animal or human
n02268853,animal or human
n02276258,animal or human
n02277742,animal or human
n02279972,animal or human
n02280649,animal or human
n02281406,animal or human
n02281787,animal or human
n02317335,animal or human
n02319095,animal or human
n02321529,animal or human
n02325366,animal or human
n02326432,animal or human
n02328150,animal or human
n02342885,animal or human
n02346627,animal or human
n02356798,animal or human
n02361337,animal or human
n02363005,animal or human
n02364673,animal or human
n02389026,animal or human
n02391049,animal or human
n02395406,animal or human
n02396427,animal or human
n02397096,animal or human
n02398521,animal or human
n02403003,animal or human
n02408429,animal or human
n02410509,animal or human
n02412080,animal or human
n02415577,animal or human
n02417914,animal or human
n02422106,animal or human
n02422699,animal or human
n02423022,animal or human
n02437312,animal or human
n02437616,animal or human
n02441942,animal or human
n02442845,animal or human
n02443114,animal or human
n02443484,animal or human
n02444819,animal or human
n02445715,animal or human
n02447366,animal or human
n02454379,animal or human
n02457408,animal or human
n02480495,animal or human
n02480855,animal or human
n02481823,animal or human
n02483362,animal or human
n02483708,animal or human
n02484975,animal or human
n02486261,animal or human
n02486410,animal or human
n02487347,animal or human
n02488291,animal or human
n02488702,animal or human
n02489166,animal or human
n02490219,animal or human
n02492035,animal or human
n02492660,animal or human
n02493509,animal or human
n02493793,animal or human
n02494079,animal or human
n02497673,animal or human
n02500267,animal or human
n02504013,animal or human
n02504458,animal or human
n02509815,animal or human
n02510455,animal or human
n02514041,animal or human
n02526121,animal or human
n02536864,animal or human
n02606052,animal or human
n02607072,animal or human
n02640242,animal or human
n02641379,animal or human
n02643566,animal or human
n02655020,animal or human
n02666196,object
n02667093,object
n02669723,object
n02672831,object
n02676566,object
n02687172,scene
n02690373,scene
n02692877,scene
n02699494,scene
n02701002,plant or food
n02704792,plant or food
n02708093,object
n02727426,scene
n02730930,object
n02747177,plant or food
n02769748,plant or food
n02776631,object
n02777292,object
n02782093,scene
n02783161,object
n02786058,object
n02787622,object
n02788148,scene
n02790996,object
n02791124,object
n02791270,scene
n02793495,scene
n02794156,object
n02795169,plant or food
n02797295,plant or food
n02799071,object
n02802426,object
n02804414,object
n02804610,object
n02807133,object
n02808304,plant or food
n02808440,plant or food
n02814533,plant or food
n02814860,scene
n02815834,plant or food
n02817516,object
n02823428,plant or food
n02823750,plant or food
n02825657,object
n02834397,object
n02835271,plant or food
n02840245,object
n02841315,object
